id;item_name;cas_number;stock_book_folio;item_manufacturer
1;Supervisor convergence;customer loyalty azure;Up-sized Bedfordshire;knowledge user extend Lao People's Democratic Republic
2;De-engineered;turn-key Concrete;killer Buckinghamshire New York;Guadeloupe navigate Sleek Concrete Pizza
3;portal China;Generic UAE Dirham Towels;Avon;Kids
4;firewall purple;back up Stream;Shores;Agent partnerships intermediate
5;4th generation frictionless virtual;Agent Multi-channelled;Nuevo Sol Directives models;calculate Triple-buffered
6;orchestrate;Keyboard Associate invoice;Refined Fresh Chair New York;Locks Hawaii
7;invoice solution open-source;program Pizza;New Caledonia impactful;context-sensitive
8;Gardens;content;Soft budgetary management expedite;synergies Down-sized
9;Wisconsin;Home Loan Account;web-enabled bypass compress;payment
10;monitor Computers B2C;EXE;magenta;convergence Inlet strategic
