id;storage_code;storage_name;storage_desc;storage_location
1;hacking Estate;e-markets;driver Senior;GLI
2;disintermediate;Fresh solutions Principal;Chile;SPL
3;Usability;Stand-alone Borders content;Belize Profound;GLI
4;microchip web-enabled;matrix navigating;input online;GLI
5;efficient Sleek Investment Account;payment white functionalities;Central;GLII
6;sky blue efficient;Planner;Small;GLII
7;Mills Shoes azure;Innovative synthesize;Borders Senior;GLII
8;application Identity Concrete;sensor Rustic Plastic Soap;Michigan;GLI
9;CSS;Borders;withdrawal transmitting;GLII
10;Optimization;generate New Jersey;emulation Licensed Fresh Towels azure;GLII
