id;item_name;cas_number;stock_book_folio;item_manufacturer;item_capacity;unit_price;total_quantity;minimum_quantity;item_status;created_on;last_updated;sdsfile;sdsfile_content_type;inv_storage_id;storage_unit_id;store_id
1;Aluminium Powder;123-45-67;01-01;NULL;500;2659;3;1;NEW;2020-10-08 10:59:21;2020-10-15 19:24:13;NULL;NULL;1;1;9
2;Aluminium Metal;123-45-67;01-02;NULL;500;17234;0;1;NEW;2020-10-08 14:05:29;2020-10-16 08:50:05;NULL;NULL;1;1;9
3;Aluminium Turnings;123-45-67;01-04;NULL;250;7882.29;2;1;NEW;2020-10-08 10:27:22;2020-10-22 19:42:22;NULL;NULL;1;1;9
4;Aluminium Foil;123-45-67;01-06;NULL;500;5072;3;1;NEW;2020-10-09 00:06:05;2020-11-01 08:13:37;NULL;NULL;1;1;9
5;Aluminium Acetate Basic;123-45-67;01-07;NULL;500;684.5;5;1;NEW;2020-10-08 01:02:55;2020-10-15 19:34:28;NULL;NULL;1;1;9
6;Aluminium ammonium Sulphate;123-45-67;01-08;NULL;3;63848.6;3;1;NEW;2020-10-08 03:23:58;2020-10-15 18:27:59;NULL;NULL;1;1;9
7;Aluminium ammonium Sulphate;123-45-67;10-10;NULL;1;25539;3;1;NEW;2020-10-08 04:08:44;2020-10-08 17:48:22;NULL;NULL;1;1;9
8;Aluminium Borate;123-45-67;01-11;NULL;250;2905.8;3;1;NEW;2020-10-08 07:51:24;2020-10-18 17:50:38;NULL;NULL;1;1;9
9;Aluminium Bromide;123-45-67;01-23;NULL;100;290;1;1;NEW;2020-10-08 00:51:56;2020-10-08 00:37:29;NULL;NULL;1;1;9
10;Aluminium Bromide;123-45-67;01-24;NULL;500;5037;1;1;NEW;2020-10-08 13:59:35;2020-10-08 03:53:34;NULL;NULL;1;1;9
11;Aluminium Chloride;123-45-67;01-28;NULL;100;900;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
12;Aluminium Oxide;123-45-67;01-29;NULL;500;4787;12;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
13;Aluminium Oxide;123-45-67;01-31;NULL;1;8030.09;39;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
14;Aluminium Oxide;123-45-67;01-32;NULL;3;20384.1;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
15;Aluminium Potassium Sulphate;123-45-67;01-33;NULL;3;1677.49;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
16;Aluminium Potassium Sulphate;123-45-67;01-34;NULL;500;1709.64;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
17;Aluminium Potassium Sulphate;123-45-67;01-37;NULL;1;2400;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
18;Aluminium Sulphate Purified;123-45-67;01-45;NULL;500;900;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
19;Alizarin Red;123-45-67;01-45;NULL;100;5000;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
20;Ammonium Arsernate;123-45-67;01-50;NULL;500;248;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
21;Ammonium Arsernate;123-45-67;01-50;NULL;250;213;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
22;Ammonium Bromide anhydrous;123-45-67;01-54;NULL;500;16369;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
23;Ammonium Carbonate;123-45-67;01-54;NULL;500;3609.24;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
24;Ammonium Chloride;123-45-67;01-54;NULL;500;1231.2;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
25;Ammonium Chromate;123-45-67;01-56;NULL;500;26715.5;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
26;Ammonium Dichromate;123-45-67;01-58;NULL;500;4270.92;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
27;Ammonium Dichromate;123-45-67;01-66;NULL;500;6785;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
28;Ammonium Ferrous Sulphate;123-45-67;01-67;NULL;500;4800;12;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
29;Ammonium Ferrous Sulphate;123-45-67;01-73;NULL;1;14125;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
30;Ammonium Ferric Sulphate;123-45-67;01-73;NULL;500;144.47;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
31;Ammonium Ferric Sulphate;123-45-67;01-73;NULL;500;1163.69;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
32;Ammonium Ferric Sulphate;123-45-67;01-74;NULL;500;9464.5;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
33;Ammonium Fluoride;123-45-67;01-74;NULL;500;4194;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
34;Ammonium Formate;123-45-67;01-74;NULL;1;10030;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
35;Ammonium Hypophosphite;123-45-67;01-77;NULL;100;716.64;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
36;Ammonium Iodide;123-45-67;01-77;NULL;250;22270.9;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
37;Ammonium meta vandate;123-45-67;01-77;NULL;500;1820;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
38;Ammonium meta vandate;123-45-67;01-78;NULL;250;11251.7;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
39;Ammonium meta vandate;123-45-67;01-80;NULL;100;4542.5;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
40;Ammonium Molybdate;123-45-67;01-80;NULL;500;12885.9;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
41;Ammonium Molybdate;123-45-67;01-82;NULL;100;13567;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
42;Ammonium Molybdate;123-45-67;01-85;NULL;1;2450;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
43;Ammonium Nickel Sulphate;123-45-67;01-89;NULL;3;910.14;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
44;Ammonium Nickel Sulphate;123-45-67;01-92;NULL;500;364.06;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
45;Ammonium Nickel Sulphate;123-45-67;01-98;NULL;100;5549.58;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
46;Ammonium Nitrate;123-45-67;01-110;NULL;500;4516.05;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
47;Ammonium Oxalate/Di Ammonium Oxalate;123-45-67;01-115;NULL;2;242.98;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
48;Ammonium Oxalate/Di Ammonium Oxalate;123-45-67;01-129;NULL;500;492.65;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
49;Ammonium Phosphate;123-45-67;01-129;NULL;500;342.35;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
50;Ammo.Sodium Hyd. O' Phosphate;123-45-67;01-129;NULL;500;257.18;13;1;NEW;2020-10-15 18:27:59;2020-10-22 20:36:25;NULL;NULL;1;1;9
51;Ammonium Sulphate;123-45-67;01-138;NULL;3;659.65;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
52;Ammonium Thiocynate;123-45-67;01-138;NULL;500;7313.46;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
53;Antimony ;123-45-67;01-141;NULL;500;13508.4;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
