id;order_status;request_date;order_date;quantity;cancel_date;item_stock_id;requested_by_id
1;PENDING;2020-10-21T22:40:12;2020-10-22T01:03:12;34818;2020-10-21T17:50:50;1;1
2;PENDING;2020-10-22T12:08:21;2020-10-22T03:50:08;26312;2020-10-21T18:57:13;2;1
3;CANCELLED;2020-10-21T17:59:28;2020-10-22T02:20:46;80077;2020-10-22T09:55:55;3;1
4;CANCELLED;2020-10-22T00:59:16;2020-10-22T16:46:50;87119;2020-10-22T05:47:49;4;1
5;CANCELLED;2020-10-21T19:33:49;2020-10-21T23:24:07;70320;2020-10-22T02:20:58;5;1
6;CANCELLED;2020-10-21T23:12:13;2020-10-22T13:36:09;14754;2020-10-22T06:25:29;6;1
7;CANCELLED;2020-10-22T15:20:51;2020-10-22T16:14:22;80522;2020-10-21T19:43:07;7;1
8;COMPLETED;2020-10-22T00:54:43;2020-10-22T10:40:23;95082;2020-10-22T10:12:12;8;1
9;CANCELLED;2020-10-22T10:48:56;2020-10-22T12:36:17;48932;2020-10-22T09:54:12;9;1
10;COMPLETED;2020-10-21T18:36:47;2020-10-22T15:15:11;45796;2020-10-22T00:42:32;10;1
