id;item_quantity;min_quantity;created_on;last_updated;item_capacity;item_stock_id
1;41040;38240;2020-10-08T18:03:57;2020-10-08T17:00:32;77472;1
2;73594;92775;2020-10-08T09:48:31;2020-10-08T19:41:38;11620;2
3;4204;88301;2020-10-08T20:58:48;2020-10-08T15:01:27;32412;3
4;87230;40899;2020-10-08T15:51:48;2020-10-08T23:18:36;69732;4
5;30367;50202;2020-10-08T23:17:35;2020-10-08T09:54:29;12808;5
6;96440;52418;2020-10-08T09:56:39;2020-10-09T03:38:05;68221;6
7;7310;29717;2020-10-08T13:39:47;2020-10-08T22:38:33;69046;7
8;86933;24597;2020-10-08T13:44:57;2020-10-08T11:19:41;39866;8
9;76629;99983;2020-10-08T20:39:14;2020-10-09T05:35:50;35072;9
10;60918;80337;2020-10-09T01:54:53;2020-10-09T00:12:41;64734;10
