id;vendor_name;last_issued_on;vendor_address;vendor_contact;registered_on
1;payment;2020-10-08T10:14:03;Berkshire;Planner Home;2020-10-08T13:45:34
2;Security payment Fresh;2020-10-08T16:51:51;Liaison;mission-critical;2020-10-08T08:52:03
3;Sleek Cotton Chips;2020-10-08T20:34:10;Metal;Global;2020-10-08T22:36:19
4;Refined Wooden Pants;2020-10-08T23:49:50;reinvent Gloves synthesizing;open architecture;2020-10-08T15:20:37
5;Incredible;2020-10-08T06:09:42;Synergized;bluetooth Borders;2020-10-09T04:43:51
6;Nebraska Licensed Investment Account;2020-10-09T03:03:27;optimize compressing backing up;end-to-end;2020-10-09T00:49:52
7;Refined optimal National;2020-10-08T12:15:22;compress e-enable Dominica;Books;2020-10-08T23:42:40
8;Fields;2020-10-08T21:52:38;schemas Solutions;collaborative;2020-10-08T13:20:45
9;Decentralized overriding;2020-10-08T22:55:17;Cotton seamless;User-centric;2020-10-09T02:32:36
10;clicks-and-mortar;2020-10-08T06:51:48;wireless Cloned Credit Card Account;ability Generic Rubber Computer Italy;2020-10-08T17:53:29
